Timestamp,UID,Age,Sex,Human Score (4),AI Score(4),Total Score(8),Sex_Encoded,AGE( below and above 24),"Education(above Ug, below UG)"
3/14/2024 12:38:04,1,18-24,Male,2,2,4,1,Under 24,UG
3/14/2024 12:38:28,2,18-24,Male,1,1,2,1,Under 24,UG
3/14/2024 12:42:52,3,18-24,Female,1,2,3,2,Under 24,UG
3/14/2024 12:44:25,4,18-24,Female,3,3,6,2,Under 24,UG
3/14/2024 12:44:59,5,18-24,Female,1,1,2,2,Under 24,UG
3/14/2024 12:45:40,6,25-45,Male,4,3,7,1,Above 24,Above UG
3/14/2024 12:46:23,7,18-24,Male,3,3,6,1,Under 24,UG
3/14/2024 12:52:03,8,18-24,Male,1,4,5,1,Under 24,Above UG
3/14/2024 12:52:54,9,18-24,Female,1,1,2,2,Under 24,Above UG
3/14/2024 12:57:40,10,18-24,Female,3,3,6,2,Under 24,UG
3/14/2024 13:00:30,11,18-24,Female,2,3,5,2,Under 24,Above UG
3/14/2024 13:00:53,12,18-24,Male,0,4,4,1,Under 24,UG
3/14/2024 13:01:49,13,18-24,Male,1,3,4,1,Under 24,UG
3/14/2024 13:02:12,14,18-24,Male,1,1,2,1,Under 24,UG
3/14/2024 13:06:08,15,18-24,Male,1,1,2,1,Under 24,UG
3/14/2024 13:07:40,16,25-45,Female,2,3,5,2,Above 24,Above UG
3/14/2024 13:07:47,17,18-24,Male,1,1,2,1,Under 24,UG
3/14/2024 13:08:02,18,18-24,Male,3,1,4,1,Under 24,UG
3/14/2024 13:12:35,19,18-24,Male,2,2,4,1,Under 24,UG
3/14/2024 13:17:34,20,18-24,Female,3,2,5,2,Under 24,UG
3/14/2024 13:17:56,21,18-24,Male,4,2,6,1,Under 24,UG
3/14/2024 13:19:24,22,18-24,Male,2,2,4,1,Under 24,UG
3/14/2024 13:21:59,23,18-24,Male,3,2,5,1,Under 24,UG
3/14/2024 13:35:56,24,18-24,Male,3,3,6,1,Under 24,UG
3/14/2024 13:39:00,25,18-24,Male,4,3,7,1,Under 24,UG
3/14/2024 13:47:04,26,25-45,Female,2,1,3,2,Above 24,Above UG
3/14/2024 13:53:16,27,18-24,Male,3,2,5,1,Under 24,UG
